Running iteration 1
==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
==> Building model..
==> Defining training..

 Loss: 2.315 | Acc: 17.916% (8958/50000)
 Loss: 1.439 | Acc: 48.286% (24143/50000)
 Loss: 1.442 | Acc: 48.672% (24336/50000)
 Loss: 1.431 | Acc: 48.520% (24260/50000)
 Loss: 1.417 | Acc: 49.234% (24617/50000)
 Loss: 1.423 | Acc: 48.946% (24473/50000)
 Loss: 1.418 | Acc: 49.246% (24623/50000)
 Loss: 1.415 | Acc: 49.458% (24729/50000)
==> Testing..
 9 10 Loss: 1.309 | Acc: 53.880% (5388/10000)   Saving..

 Loss: 1.409 | Acc: 49.514% (24757/50000)
 Loss: 1.404 | Acc: 49.936% (24968/50000)
 Loss: 1.403 | Acc: 49.816% (24908/50000)
 Loss: 1.403 | Acc: 49.972% (24986/50000)
 Loss: 1.399 | Acc: 49.976% (24988/50000)
 Loss: 1.401 | Acc: 49.992% (24996/50000)
 Loss: 1.394 | Acc: 50.108% (25054/50000)
 Loss: 1.386 | Acc: 50.666% (25333/50000)
 Loss: 1.374 | Acc: 50.808% (25404/50000)
 Loss: 1.372 | Acc: 50.830% (25415/50000)
==> Testing..
 9 10 Loss: 1.314 | Acc: 53.890% (5389/10000)   Saving..

 Loss: 1.371 | Acc: 51.124% (25562/50000)
 Loss: 1.375 | Acc: 51.062% (25531/50000)
 Loss: 1.373 | Acc: 51.370% (25685/50000)
 Loss: 1.364 | Acc: 51.174% (25587/50000)
 Loss: 1.365 | Acc: 51.498% (25749/50000)
 Loss: 1.360 | Acc: 51.358% (25679/50000)
 Loss: 1.354 | Acc: 51.970% (25985/50000)
 Loss: 1.353 | Acc: 51.844% (25922/50000)
 Loss: 1.348 | Acc: 51.894% (25947/50000)
 Loss: 1.350 | Acc: 51.744% (25872/50000)
==> Testing..
 9 10 Loss: 1.262 | Acc: 55.360% (5536/10000)   Saving..

 Loss: 1.342 | Acc: 52.004% (26002/50000)
 Loss: 1.340 | Acc: 52.368% (26184/50000)
 Loss: 1.335 | Acc: 52.376% (26188/50000)
 Loss: 1.337 | Acc: 52.268% (26134/50000)
 Loss: 1.333 | Acc: 52.524% (26262/50000)
 Loss: 1.333 | Acc: 52.652% (26326/50000)
 Loss: 1.332 | Acc: 52.384% (26192/50000)
 Loss: 1.321 | Acc: 52.872% (26436/50000)
 Loss: 1.319 | Acc: 52.664% (26332/50000)
 Loss: 1.322 | Acc: 52.988% (26494/50000)
==> Testing..
 9 10 Loss: 1.248 | Acc: 55.940% (5594/10000)   Saving..

 Loss: 1.317 | Acc: 53.014% (26507/50000)
 Loss: 1.312 | Acc: 53.164% (26582/50000)
 Loss: 1.315 | Acc: 53.158% (26579/50000)
 Loss: 1.306 | Acc: 53.552% (26776/50000)
 Loss: 1.305 | Acc: 53.730% (26865/50000)
 Loss: 1.301 | Acc: 53.588% (26794/50000)
 Loss: 1.299 | Acc: 53.660% (26830/50000)
 Loss: 1.305 | Acc: 53.654% (26827/50000)
 Loss: 1.300 | Acc: 53.812% (26906/50000)
 Loss: 1.293 | Acc: 54.096% (27048/50000)
==> Testing..
 9 10 Loss: 1.226 | Acc: 56.890% (5689/10000)   Saving..

 Loss: 1.291 | Acc: 54.012% (27006/50000)
 Loss: 1.278 | Acc: 54.380% (27190/50000)
 Loss: 1.286 | Acc: 54.142% (27071/50000)
 Loss: 1.281 | Acc: 54.276% (27138/50000)
 Loss: 1.278 | Acc: 54.536% (27268/50000)
 Loss: 1.283 | Acc: 54.288% (27144/50000)
 Loss: 1.275 | Acc: 54.736% (27368/50000)
 Loss: 1.275 | Acc: 54.552% (27276/50000)
 Loss: 1.279 | Acc: 54.462% (27231/50000)
 Loss: 1.282 | Acc: 54.524% (27262/50000)
==> Testing..
 9 10 Loss: 1.203 | Acc: 57.580% (5758/10000)   Saving..

 Loss: 1.270 | Acc: 54.838% (27419/50000)
 Loss: 1.263 | Acc: 55.120% (27560/50000)
 Loss: 1.260 | Acc: 55.368% (27684/50000)
 Loss: 1.267 | Acc: 55.024% (27512/50000)
 Loss: 1.254 | Acc: 55.454% (27727/50000)
 Loss: 1.255 | Acc: 55.600% (27800/50000)
 Loss: 1.255 | Acc: 55.408% (27704/50000)
 Loss: 1.250 | Acc: 55.940% (27970/50000)
 Loss: 1.251 | Acc: 55.596% (27798/50000)
 Loss: 1.254 | Acc: 55.212% (27606/50000)
==> Testing..
 9 10 Loss: 1.206 | Acc: 57.620% (5762/10000)   Saving..

 Loss: 1.251 | Acc: 55.654% (27827/50000)
 Loss: 1.249 | Acc: 55.630% (27815/50000)
 Loss: 1.239 | Acc: 56.128% (28064/50000)
 Loss: 1.245 | Acc: 55.814% (27907/50000)
 Loss: 1.244 | Acc: 55.992% (27996/50000)
 Loss: 1.240 | Acc: 56.066% (28033/50000)
 Loss: 1.236 | Acc: 56.202% (28101/50000)
 Loss: 1.240 | Acc: 55.900% (27950/50000)
 Loss: 1.231 | Acc: 56.176% (28088/50000)
 Loss: 1.237 | Acc: 55.982% (27991/50000)
==> Testing..
 9 10 Loss: 1.187 | Acc: 58.270% (5827/10000)   Saving..

 Loss: 1.232 | Acc: 56.394% (28197/50000)
 Loss: 1.227 | Acc: 56.530% (28265/50000)
 Loss: 1.232 | Acc: 56.342% (28171/50000)
 Loss: 1.229 | Acc: 56.262% (28131/50000)
 Loss: 1.226 | Acc: 56.382% (28191/50000)
 Loss: 1.224 | Acc: 56.474% (28237/50000)
 Loss: 1.221 | Acc: 56.588% (28294/50000)
 Loss: 1.220 | Acc: 56.472% (28236/50000)
 Loss: 1.217 | Acc: 56.820% (28410/50000)
 Loss: 1.221 | Acc: 56.678% (28339/50000)
==> Testing..
 9 10 Loss: 1.185 | Acc: 58.160% (5816/10000)
 Loss: 1.218 | Acc: 56.768% (28384/50000)
 Loss: 1.210 | Acc: 56.942% (28471/50000)
 Loss: 1.219 | Acc: 56.862% (28431/50000)
 Loss: 1.214 | Acc: 56.850% (28425/50000)
 Loss: 1.210 | Acc: 57.040% (28520/50000)
 Loss: 1.209 | Acc: 57.108% (28554/50000)
 Loss: 1.207 | Acc: 57.380% (28690/50000)
 Loss: 1.210 | Acc: 57.074% (28537/50000)
 Loss: 1.205 | Acc: 57.240% (28620/50000)
 Loss: 1.204 | Acc: 57.346% (28673/50000)
==> Testing..
 9 10 Loss: 1.178 | Acc: 58.840% (5884/10000)   Saving..

 Loss: 1.203 | Acc: 57.208% (28604/50000)
 Loss: 1.200 | Acc: 57.408% (28704/50000)
 Loss: 1.206 | Acc: 57.038% (28519/50000)
 Loss: 1.210 | Acc: 57.352% (28676/50000)
 Loss: 1.205 | Acc: 57.068% (28534/50000)
 Loss: 1.207 | Acc: 57.224% (28612/50000)
 Loss: 1.207 | Acc: 57.262% (28631/50000)
 Loss: 1.206 | Acc: 57.186% (28593/50000)
 Loss: 1.202 | Acc: 57.448% (28724/50000)
 Loss: 1.203 | Acc: 57.442% (28721/50000)
==> Testing..
 9 10 Loss: 1.173 | Acc: 58.770% (5877/10000)
 Loss: 1.203 | Acc: 57.404% (28702/50000)
 Loss: 1.205 | Acc: 57.240% (28620/50000)
 Loss: 1.206 | Acc: 57.376% (28688/50000)
 Loss: 1.204 | Acc: 57.356% (28678/50000)
 Loss: 1.202 | Acc: 57.390% (28695/50000)
 Loss: 1.204 | Acc: 57.428% (28714/50000)
 Loss: 1.196 | Acc: 57.584% (28792/50000)
 Loss: 1.198 | Acc: 57.528% (28764/50000)
 Loss: 1.201 | Acc: 57.678% (28839/50000)
 Loss: 1.199 | Acc: 57.438% (28719/50000)
==> Testing..
 9 10 Loss: 1.174 | Acc: 58.720% (5872/10000)
